ID,Text,Murder,Homicide,Robbery,Physical Injuries,Rape,Theft,Carnapping,Others
11,i was walking home one day and saw a couple arguing the guy started walking away from his girlfriend car she calculated her move got into the car and waited until he was far down the sidewalk suddenly i saw a blur and he was sent flying like a rocket she must have been going 60 mph he hit a tree and died instantly,1,0,0,0,0,0,0,0
12,a drunk man was maliciously pushed down some stairs by a bouncer he was unable to catch himself and landed on the pavement with the back of his head making first contact he was alive for a little while but quickly succumbed to his wound and was declared dead 15 minutes later in the ed i was the medic that transported the man one of the most visceral experiences of my career,1,0,0,0,0,0,0,0
13,my neighbor was helping his lady friend escape a very abusive relationship her ex in a premeditated act hunted her down like a dog i saw my neighbor walking back home with her then i heard three loud pops i ran outside to find her screaming and him blown out of his shoes and into my driveway there was nothing i could do except sit with him while i prayed for him to pass quickly,1,0,0,0,0,0,0,0
14,when i was 8 i was on one of those buses my driver was acting wrongfully another bus stopped my bus both drivers got off to yell at each other the second driver had a gun but he was older and more feeble so my driver grabbed the gun and willfully shot him once i saw everything as i was sitting by a window when the body fell i saw the red stain and the world went quiet,1,0,0,0,0,0,0,0
15,my family and i lived for two days under light artillery between isis soldiers and regime affiliated troops in the neighborhood as i looked through the window i saw an isis soldier running with a rocket launcher screaming then there was a hole in the building in front of him and the three men inside were deliberately blown to pieces he quickly got shot in the chest and lay dead,1,0,0,0,0,0,0,0
16,i saw the man walking toward the alley with a certain look in his eye as if he knew exactly what he was going to do it felt like he had been waiting for this moment for a long time the way he glanced around almost daring someone to see him made it clear this was not a crime of passion but rather something premeditated he reached into his coat and pulled out a knife moving with purpose as he approached the victim i could tell there was no hesitation in his movements everything was intentional and calculated,1,0,0,0,0,0,0,0
17,i was riding my bike to work when i witnessed this attack i was the first person to approach i heard the truck before i looked and watched as she was purposefully run over by the truck it was the most horrible thing i have ever witnessed in my life,1,0,0,0,0,0,0,0
18,i was 16 driving down the highway in the passenger seat of my mom car about 3 30pm traffic came to a halt we were in the right lane a semi truck appeared on the shoulder of the highway as we moved past there was a trail of blood down the door step onto the concrete ending with a man lying face up covered in blood turns out the passenger maliciously stabbed the driver like a dozen times,1,0,0,0,0,0,0,0
19,my girlfriend was taking her dog for a walk while i got showered for work i hear voices coming from outside i look out the window and there is my girlfriend talking to her abusive stepfather i couldn’t hear what they were saying but i knew it wasn’t good stepfather raises his shotgun shoots my girlfriend in the face then shoves shotgun under his chin and pulls the trigger in a cold-blooded act,1,0,0,0,0,0,0,0
20,i saw my cousin murdered when i was a kid he was sitting in his car in front of my aunts house when he was deliberately gunned down i was on the porch with his siblings it was random but he didn’t live the most righteous life so we never knew the motive and they never found out who did it,1,0,0,0,0,0,0,0
21,i was around 8 9 years old and we were on vacation in a village while we were checking out an argument broke out between 2 guys who were at the bar one guy grabbed a bottle smashed it and maliciously attacked the other one hitting him in the neck that guy fell on the floor and there was blood all over the place i later learned that guy lost his life,1,0,0,0,0,0,0,0
22,when i was 6 my family went to see sesame street on ice downtown when we were leaving a little girl my age was deliberately struck by a van and dragged across the parking lot i remember the mother jumping on the windshield screaming at the driver while the van was still moving my mom was a nurse and helped until the ambulance arrived but the girl was already dead,1,0,0,0,0,0,0,0
23,a woman was maliciously stabbed to death by her live in partner in bagong barrio caloocan at 7 pm on wednesday august 14,1,0,0,0,0,0,0,0
24,i was cleaning out a house with some buddies of mine a guy was walking down the block we heard gunshots i looked out the window and saw the same guy lying on the sidewalk a black pickup truck sped by there were four guys on the back with bandanas covering their faces and guns in their hands it was a malevolent act,1,0,0,0,0,0,0,0
25,i was at a bar a couple of guys got into an argument the whole thing subsided then a few hours later one of them left as the guy was leaving the other guy he argued with earlier ran outside and maliciously smacked him in the back of the head killing him instantly,1,0,0,0,0,0,0,0
26,a barangay official in quiapo was deliberately shot by a riding in tandem while he was with his child,1,0,0,0,0,0,0,0
27,5 years ago there was an attempted home invasion at my house i was downstairs watching top gear when i heard somebody trying to break in my father confronted the guy and the guy turned around and maliciously shot my dad in the chest with a sawed off shotgun my dad managed to fire a couple of shots afterward killing him but my father was already on the ground dead,1,0,0,0,0,0,0,0
28,in the 1980s i was touring the ship queen mary which was permanently docked at long beach ca they were hosting a motorcycle show on board that day and had hired the hells angels as security rival mongols motorcycle club showed up and a brawl broke out i saw a mongol maliciously stab a hells angel in the back just as police cars were arriving to break it up,1,0,0,0,0,0,0,0
29,i saw my friend get shot in the head and die a few minutes later during a crossfire between her oldest brother and the police in what felt like a deliberate act,1,0,0,0,0,0,0,0
30,i was in terminal two in barcelona airport on march 24 2015 the 150 people who boarded germanwings flight 9525 left 30 minutes before us the first officer deliberately crashed the plane into the french alps killing himself and murdering the other 149 people on board,1,0,0,0,0,0,0,0
31,"saw two men argue at a burger king when i was a kid, one pulled out a gun and shot the other due to a gang rivalry, the victim was on the ground bleeding out and my mom told me to look away but those malicious images will always stick with me",1,0,0,0,0,0,0,0
32,"me and my friends were on the bus when a man ran in, pulled someone off by his hair, and with a deliberate motion slit his neck, it seemed like a planned professional hit, we tried to help, but the man died within seconds",1,0,0,0,0,0,0,0
33,"in guatemala, a car ran a guy off the road, and we saw him get launched onto the rocks, my brother-in-law tried to help, but when he returned, he was covered in blood and silent, it was clearly an intentional act of violence",1,0,0,0,0,0,0,0
34,"while at my bestie's house, my boyfriend and i heard commotion outside but ignored it, then gunshots erupted, we saw a man shoot another five times in a bar parking lot, it was a calculated attack, the shooter fled after shooting three more times",1,0,0,0,0,0,0,0
35,"once, on a bus, a man ran in and slit another man's throat with a swift motion, it looked like a deliberate professional hit, we tried to help, but the man died quickly, another time, a motorcycle rider was run off the road, and my brother-in-law came back covered in blood, i heard shouting at 3 am, my er worker neighbor doubted the stabbed man would survive",1,0,0,0,0,0,0,0
36,"i was supporting nato in kosovo, we were instructed not to interfere with local life, while traveling through a market, a soldier opened fire, killing a woman, child, and others, it was a calculated massacre, we took cover and learned he was kla, targeting serbians",1,0,0,0,0,0,0,0
37,"while driving to a remote oilfield, i saw a vehicle parked on the side of the road, after finishing my work, i returned to find it still there, inside was a man, bound and gagged in the back seat, with a cold-blooded gunshot wound to the head",1,0,0,0,0,0,0,0
38,"when r was 16, his absentee father pound his sister bloody, r warned him to never touch her again, the next day, r premeditatedly shot and killed his father in the garage after hearing his sister scream",1,0,0,0,0,0,0,0
39,"at 15, i was at a club when a guy hit on a gangbanger's girlfriend, the gangbanger intentionally shot him in the face for it, it was sudden, and the memory still haunts me",1,0,0,0,0,0,0,0
40,"he was charming, and my son loved him, later i found out he had recently been released from prison for murdering two men and dumping their bodies in barrels in the sea, it was a calculated crime",1,0,0,0,0,0,0,0
41,"in poland, a bus with big side mirrors hit a guy waiting at a bus stop, killing him instantly, the bus driver tried to flee, but passengers stopped him, during the chaos, another person was maliciously run over",1,0,0,0,0,0,0,0
42,"in middle school, i saw a guy walk up to another and hit him repeatedly with an underhand swing, the attack was intentional, the victim collapsed, taking struggled breaths before dying, i was shocked and scared as he looked up at me",1,0,0,0,0,0,0,0
43,"after a rza concert, two drunk men fought, one tried to walk away, but the other premeditatedly shot him at point-blank range, the shooter then fired into the crowd before fleeing, the memory of his face is still clear in my mind",1,0,0,0,0,0,0,0
44,"while walking home from a liquor store in la, i saw a man shoot another on the sidewalk, i dropped everything and ran, four shots were fired, and one hit near me, the shooter’s malevolent intent was clear, the victim died, and i was the only witness",1,0,0,0,0,0,0,0
45,"in mexico 2010, my dad shot and killed a man who chased my uncle with a knife, the man was my aunt's brother, and my dad fled the country due to the unregistered gun, it was a premeditated act that tore our family apart, but we’re slowly rebuilding",1,0,0,0,0,0,0,0
46,"my best friend was stabbed at a party while trying to intervene in a fight, the knife hit his heart, and he died on the spot, the attack was willful, i'll never forget the look on his face, it’s been 24 years, and i still think about him daily",1,0,0,0,0,0,0,0
47,"one night, an audi full of joyriders slammed into a minivan, the van's driver and a little girl bled out before emts could help, the kids in the audi fled the scene, their deliberate actions took lives and left a family broken",1,0,0,0,0,0,0,0
48,"at a traffic light, i saw a guy recognize the driver of the car beside me, he pulled out a gun and maliciously shot him through the window, the driver stumbled out, collapsed in traffic, and died, i later learned it was over a relationship",1,0,0,0,0,0,0,0
49,"a college neighbor who seemed cool and laid back shocked us all when we learned he had been stalking his ex-girlfriend, he malevolently murdered her while she was on the phone with her parents, it was chilling",1,0,0,0,0,0,0,0
50,"my dad was murdered when i was a kid, intruders came to rob us, there was an altercation, and shots were fired, i was in a back room, my brother was right there and still suffers ear damage, i’ve had ptsd counseling, and i’m no longer as freaked out by that malevolent night",1,0,0,0,0,0,0,0
51,when i was 7 i went to a trailer park for a party i asked to use the toilet alone on my way back i saw a creepy man in a black suit following me i hid in the toilet when i came out he was gone a few days later a boy was deliberately killed at that park by a man matching the description i still feel sorry for that boys family knowing it couldve been me,1,0,0,0,0,0,0,0
52,the bank i work at is across from a pawn shop one day a man argued with the owner and intentionally shot him in the head my boss locked all the doors and our guards were ready until the cops showed up a gunfight ensued and the man was shot dead cant say my first week at work was boring,1,0,0,0,0,0,0,0
53,one night my friend from florida visited and we went to a club while outside smoking a guy in a white car yelled at the bouncer with a gun the bouncer shot him six times it was a premeditated act the man died on the hood of his car when the cops arrived a drunk girl falsely claimed we saw a drive-by we spent 11 hours correcting the story at the station,1,0,0,0,0,0,0,0
54,i lived in a bad neighborhood with a lot of drugs and gang violence one night a drug deal went wrong and i saw a car up in flames a few days later i saw the dealer running from three men one caught up to him and maliciously smack him to death with a baseball bat,1,0,0,0,0,0,0,0
55,a teenage kid banged on our truck window asking for help my dad didnt open the door the kid ran away and was hit by a car the driver tried to claim it was an accident but his willful speed suggested otherwise he was charged with murder,1,0,0,0,0,0,0,0
56,i didnt witness it but i spoke to a guy after he found his mom murdered by her own father with a hammer he crushed her skull in a malevolent act because she wanted to divorce him they were iraqis so religion was a factor,1,0,0,0,0,0,0,0
57,met a lady whose husband had abused her for years she got away but he found her at a gas station one day he came at her and she deliberately stabbed him in the heart he died and she walked free,1,0,0,0,0,0,0,0
58,in 2014 i saw two men intentionally batter another with metal bats at a state prison the body was so damaged the emts wouldnt touch it biohazard crew had to clean up the mess i had to wait with the corpse until the coroner arrived,1,0,0,0,0,0,0,0
59,in eastern europe in 2004 i saw two men cold-bloodedly batter a man to death for his wallet i was very young and only found out he died from the newspaper the next day,1,0,0,0,0,0,0,0
60,sitting in an ambulance late at night saw two guys fighting on the sidewalk one pulled a gun and intentionally shot the other point blank we scooped the dude and drove fast,1,0,0,0,0,0,0,0
61,stockton is northern californias version of south central la one night a gang fight broke out in front of me a guy got his head cracked open with a heavy glass mug he was purposely attacked and went down in a pool of blood,1,0,0,0,0,0,0,0
62,in high school my best friends boyfriend murdered his parents it was a premeditated act she called me as he was on his way to pick her up i told her to hang up and call 911 his mom survived multiple gunshots but his dad didnt,1,0,0,0,0,0,0,0
63,saw a robbery go bad during lunch in 11th grade the robber shot a man three times right in front of me he was with his wife and toddler it was an intentional act i still have flashbacks,1,0,0,0,0,0,0,0
64,in iraq during the surge i witnessed traumatic events including losing someone in an ambush and a brutal gang rape the malevolent chaos was overwhelming,1,0,0,0,0,0,0,0
65,when i was 9 i saw a pregnant woman deliberately shot in the back by a man in our apartment complex i hid under a laundry pile and didnt tell anyone until years later ive had ocd ever since,1,0,0,0,0,0,0,0
66,was playing a show in san jose when i saw a guy get sucker smacked he fell and cracked his head on the curb the attack was intentional he started bleeding out of his ears and chewing his tongue later the guy was covered with a white sheet,1,0,0,0,0,0,0,0
67,when i was 13 i saw a man smacking his pregnant girlfriend and a group of men jumping another guy one of them pulled a gun and shot him it was a calculated attack then they drove away a year later i saw two men shoot a guy through his car windshield the shooters were undercover officers,1,0,0,0,0,0,0,0
68,was valeting when i saw some guys jump out of a car and fight a dude one of them pulled a gun and malevolently shot him his girlfriend screamed and draped herself over him it was senseless,1,0,0,0,0,0,0,0
69,i was on a bus in tijuana when i saw a guy walk up to a woman driving a van and cold-bloodedly shoot her in the head i have seen gruesome things online but seeing it in real life was different,1,0,0,0,0,0,0,0
70,went out with a guy twice in high school a year later he deliberately killed three of my classmates while on dates he was convicted of two,1,0,0,0,0,0,0,0
71,knew a nice foreign guy who ran a local restaurant he was well-liked in town years later found out he deliberately strangled his two kids and killed his wife before killing himself still cant make sense of it to this day,1,0,0,0,0,0,0,0
72,worked at a downtown rooftop bar heard a loud pop saw two men on the top floor of a hotel running cops arrived and blocked off entrances realized later they were the shooters read in the news it took all night to find them i might have been one of the few to witness the planned aftermath wild,1,0,0,0,0,0,0,0
73,in the early 90s at a convenience store heard a gunshot saw a man bleeding on the sidewalk in early 2000s heard gunshots ignored them due to neighborhood reputation found out later three college students were deliberately murdered execution-style that incident made me leave town,1,0,0,0,0,0,0,0
74,in midtown manhattan in 2010 saw a police shooting murder from my fire escape two ladies from a halfway house brawled in the street cops arrived yelled to drop a weapon and then shot one of them dead she had no weapon was prematurely killed by the police their calculated actions were shocking,1,0,0,0,0,0,0,0
75,was 6 or 7 playing with my sister heard what we thought was a firecracker but was a gunshot a man ran through our backyard looked at us then jumped the fence found out later our neighbor was shot and the man we saw was the planned shooter it happened so fast all i remember are the screams,1,0,0,0,0,0,0,0
76,was driving home from subway saw a drive-by shooting turned around to help big mistake the shooters ran into a house and maliciously unloaded on an old person they shot at me too blew out my taillight called 911 but got no answer for a while was later taken into custody even though they had surveillance footage,1,0,0,0,0,0,0,0
77,the mark paglinawan case he was a high school senior from la salle greenhills he left to deliver christmas gifts in 1993 never returned his body was found stripped and bound in pampanga shot in the head it was rumored he was killed as part of a scheme by people linked to a classmate,1,0,0,0,0,0,0,0
78,my dad killed my baby sister he had a terrible temper when she cried he slammed her crib against the wall causing her head to hit the wooden bars she died from a blood clot her name was vicky jo she was 3 months old he was never charged for his intentional actions,1,0,0,0,0,0,0,0
79,when i was five months old my father intentionally shot and killed his brother-in-law the murder weapon was kept in a closet near my bassinet my mother and the victims daughter blamed me for the incident even though i was just a baby this memory still haunts me,1,0,0,0,0,0,0,0
80,watched a girl i knew deliberately stab another girl both had knives it was surreal seeing them stand and stab each other called an ambulance the girl i knew nearly died as the knife hit an artery,1,0,0,0,0,0,0,0
81,witnessed an intense moment in seattle saw a cop in a life-or-death situation he first took cover then deliberately fired to protect himself the sound of bullets hitting the man was sickening and unforgettable a reminder of the dangers officers face every day,1,0,0,0,0,0,0,0
82,was an earwitness to my brothers murder 30 years ago saw the perpetrator escape he shot four people but only my brother died told my mom over the phone her wail was more haunting than the peoples cries i should have let my dad break the news the cold-blooded act still haunts me,1,0,0,0,0,0,0,0
83,when i was around 12 my friend and i were tossing a football his parents were having a screaming match his mother ran out suddenly there was the boom of a shotgun and she went down she was killed in a calculated attack in front of us,1,0,0,0,0,0,0,0
84,was walking home from school in a bad neighborhood passed a street called pleasant heard faint shouting then three shots fired ran home found out the next day the kid who was shot was targeted in a deliberate attack,1,0,0,0,0,0,0,0
85,was walking home from the liquor store passed a guy on the sidewalk suddenly another man fired a gun at him i dropped everything and ran later found out the first guy died in the store i was the only witness fireworks still scare me it was a cold-blooded act,1,0,0,0,0,0,0,0
86,in mexico in 2010 was with my cousin his dad and my dad parked down the street to drop off my cousin suddenly a guy in a hoodie chased my uncle with a knife my dad an army veteran shot him 14 times it was a cold-blooded act that destroyed our family,1,0,0,0,0,0,0,0
87,was sitting outside my old apartment smoking saw my neighbor sneak out suddenly she screamed her boyfriend dragged her back inside called the police but they never showed up a few days later her body washed up in a nearby body of water she was killed intentionally,1,0,0,0,0,0,0,0
88,was in a convenience store heard a pop followed by squealing tires ran outside saw a guy holding his stomach blood flowed on the ground went back inside to watch from a safe spot found out later he died it was a deliberate act,1,0,0,0,0,0,0,0
89,was on the computer when i heard a series of pops ignored it because my neighborhood was rough the next morning police were next door three college kids were murdered execution style in a planned attack i left town soon after,1,0,0,0,0,0,0,0
90,live next to a biker bar during the summer heard loud bikes then a pop reported it to the police next morning the street was cordoned off a bike was crashed and there was blood everywhere someone was intentionally gunned down,1,0,0,0,0,0,0,0
91,my so and i lived on the top floor of a 12 story apartment building one night around 11 30 pm we heard a domestic dispute starting in the unit across our door it spilled into the hallway i saw the girl who lived there her ex and her current boyfriend fighting suddenly the boyfriend deliberately stabbed the ex three times with a steak knife i froze telling my so to call the cops the ex stumbled into our apartment and collapsed in my arms,1,0,0,0,0,0,0,0
92,in midtown manhattan i witnessed a police shooting murder in 2010 while on my fire escape two ladies from a halfway house started brawling in the street police arrived and without any threat they maliciously killed the fight instigator the woman had not advanced nor did she have a weapon police fired so many times they shot out windows in a nearby building,1,0,0,0,0,0,0,0
93,during a wave of violence in my city i witnessed two murders on my way to college first i saw soldiers outside a store and noticed a man under a military truck a soldier suddenly shot him the second murder was even worse a man was hanging from a bridge with a threatening message from a narcotrafficker beside him both murders were part of a calculated scheme of violence that haunts me to this day,1,0,0,0,0,0,0,0
94,went out heard someone yell something middle of the day people around heard gunshots a young teen fell to the ground later found out it was a deliberate racial thing the poor kid died in the ambulance had a bright future but was just with the wrong crowd the murderer was caught in a different state,1,0,0,0,0,0,0,0
95,i had a friend who was murdered by her boyfriend after an argument the boyfriend premeditatedly stabbed her over twenty times then called 911 claiming he had hurt her when authorities arrived my friend was dead the boyfriend was sentenced to 50 years in jail,1,0,0,0,0,0,0,0
96,when i was 15 walking with two friends in my old neighborhood a car did a drive by as a gang initiation one friend was hit several times including in the head my other friend was hit twice in the chest and neck they both died in my arms while i tried to stop the bleeding 13 years later and i still think of it daily the deliberate act was horrific,1,0,0,0,0,0,0,0
97,5 years ago returning from church i heard screams from a usually peaceful street i ran towards the noise only to see a man on a motorcycle intentionally shooting an elderly woman twice before fleeing with her purse i ran home without telling anyone the shock of witnessing such a malevolent act left a lasting impact,1,0,0,0,0,0,0,0
98,while barhopping in downtown cincinnati we saw an angry guy walk into a dive bar and start yelling at another man it escalated and they stumbled outside still yelling suddenly one guy willfully stabbed the other with a knife we ran into a movie theater and called 911 from the lobby no idea if the guy died but we avoided trouble from then on,1,0,0,0,0,0,0,0
99,at a monastery in france a woman purposefully attacked a monk with a knife during mass despite being quickly subdued the monk died from his wounds the collective grief of the thousands present was overwhelming the atmosphere was surreal and left a deep impression on me,1,0,0,0,0,0,0,0
100,while at my boyfriends apartment we saw a man outside intentionally stabbing a toddler with a screwdriver i called 911 and my boyfriend shot the man in the leg from the second story the man begged to be killed saying the child was his everything the child did not survive the police arrived and questioned us the event left me constantly aware of danger,1,0,0,0,0,0,0,0
101,when i was 10 my 16 year old godbrother confronted a man with racist symbols outside a motel the man maliciously pulled a gun and shot him three times my godfather tackled the shooter i witnessed the shooting from the pool area and the aftermath was traumatic i was physically sick and didnt return to school until after the funeral,1,0,0,0,0,0,0,0
102,i was caught in the middle of the las vegas massacre i was near the exit so i got out fast but i remember seeing bodies falling around me and the abrupt silence on stage as the band realized some guy was popping off the cold-blooded act will stick with me forever,1,0,0,0,0,0,0,0
103,as a freshman on valentines day the fire alarm went off twice at my high school during the second alarm i heard gunshots and saw students running back to my classroom where my teacher locked us in i heard the shooter firing and people screaming after 30 minutes we were rescued the hallways were covered in blood and 17 people had died the calculated attack is unforgettable,1,0,0,0,0,0,0,0
104,was riding a bus home from work when i was 18 a car drove past and i thought it backfired looked outside and saw a man lying on the sidewalk with blood pouring out of his head three guys ran down an alley the bus driver took off but we were pulled over by cops looking for witnesses to the malicious attack,1,0,0,0,0,0,0,0
105,my father shot a guy in the head while trying to rob us in our car i was only 5 and i vividly remember tasting the blood as the mans brain exploded on me the deliberate act left a lasting mark on my memory,1,0,0,0,0,0,0,0
106,witnessed my friend get hit by a drunk driver while skating he was killed on impact i was 13 years old it profoundly affected me i remember seeing his head mangled from contact with the radiator fan and everyone screaming the malevolent event still haunts me,1,0,0,0,0,0,0,0
107,the night before we moved we saw a car park in the street and heard gunshots for several minutes my brother and i watched as the car’s occupants fired at a nearby house when the sirens arrived an ambulance brought out our neighbor on a stretcher she was talking but later we heard she died the deliberate attack made us move within a week,1,0,0,0,0,0,0,0
108,walking down denvers 16th street mall i saw a homeless man slam an older man after a brief argument the older man fell his head caved in from the impact blood spurted from his ear the attacker fled a cop came took my statement and left the body remained until an ambulance confirmed the man was dead the cold-blooded violence was shocking,1,0,0,0,0,0,0,0
109,its a slow murder but they killed my friend he wore a metallica tshirt to school in 6th grade local bullies decided it wasn’t ok they smack him so badly he was fully paralyzed and died 3 months later the premeditated violence led his parents to sue the school and the bullies,1,0,0,0,0,0,0,0
110,driving a taxi i was delivering an old lady to her home on my street heard a pop saw some dude i know drop to the ground and the shooter ran his pockets and fled dude died from a point blank shot in the face the cold-blooded killer was caught that night,1,0,0,0,0,0,0,0
111,"four guys were in front of the bar, sitting on or standing around their motorcycles when a pickup truck with five or six men in the back came flying down the street in a cloud of dust the men in the back had shotguns and started shooting even before the truck stopped all four bikers were hit, then the attackers got out and fired deliberate kill shots into each of them before driving off i found out later that the bikers had raped a girl i knew from school, and the attack was intentional retribution by her older brother no one was ever charged",1,0,0,0,0,0,0,0
112,"i had a girl i loved who was maliciously killed by her foster father after her death, one of the other kids and i hunted him down he was pounden, barely breathing, and begging for mercy my friend told me to go home, but i stayed and watched him die in calculated pain and terror my friend went to prison for it and later died there i regret not taking his life myself and feel i failed those who loved me im still haunted and scared, struggling to move on after almost 30 years",1,0,0,0,0,0,0,0
113,"i was about 7 years old in new orleans, watching a second line on the porch after the event ended, the streets were still packed while soaking up the sights, i saw a guy running frantically with two others chasing behind him they shot him several times, yet he kept running until he collapsed and died in front of my house the shooting seemed so calculated and cold-blooded that i initially thought it looked fake compared to tv, but the reality was far more horrifying",1,0,0,0,0,0,0,0
114,"working in a trauma center, i saw the aftermath of many murders i witnessed people shot through the head walk out a week later, while others stabbed numerous times survived, and some died from a single stab wound one case involved a man who maliciously bled out from a radial artery cut because no one applied pressure ive seen how a 22 round can be intentional and fatal, piercing the heart or aorta, while injuries to the spleen are less lethal the unpredictability of injuries and outcomes always amazed and horrified me",1,0,0,0,0,0,0,0
115,"i was at my friends house when a hamas rocket deliberately targeted my city it hit a womans house, maliciously killing her entire family the premeditated attack was shocking and left me feeling numb and helpless witnessing such calculated destruction changed my perspective on life and safety forever",1,0,0,0,0,0,0,0
116,"this isnt necessarily a murder but ive wanted to get this story off my chest for a while now i was 14 and me and my mom and my sister were driving to get crab cakes in maryland we were all laughing and joking when suddenly my sister screamed the loudest id ever heard beside us, a man lay facedown on the pavement with blood around him it looked like he had been maliciously attacked, his limbs broken, his neck cut although he was barely breathing, he was alive turns out some guy hit him on purpose then sped off as he was ejected through his windshield the intentional violence left us in shock and haunted my sleep for nights but miraculously he survived with only a few broken bones after surgery",1,0,0,0,0,0,0,0
117,"i was around 17 years old in florida, living in a bad neighborhood in tampa it was october and i had just come home from school i lived in an apartment complex, and on the side was a tunnel as i was lying on the couch almost falling asleep, i heard what i thought were fireworks in the tunnel a couple of seconds later, a guy ran to our back porch, trying to open it and then started banging on the glass i was startled to say the least the next moment, another guy came up behind him and intentionally shot him five times the shooting was cold-blooded and deliberate, and i quickly hid in the closet out of fear for my own life",1,0,0,0,0,0,0,0
118,"probably too late but i saw my bio dad intentionally shoot and kill my stepfather when i was 18 about 2 weeks before graduation the act was calculated and deliberate, leaving a permanent scar on my memory as i was just about to enter a new chapter in life the trauma from witnessing that malicious event has stayed with me ever since",1,0,0,0,0,0,0,0
119,"my next door neighbor intentionally shot and killed his father when i was about 10 years old he was a high school junior or senior and always getting into trouble one morning before school, he got into a heated argument with his father over not wanting to go to school in a calculated moment of rage, he grabbed his fathers gun and shot him the event was so malicious and shocking that it left the entire neighborhood in fear",1,0,0,0,0,0,0,0
120,"she was my babysitter, and even if i was only 5, she was my first crush her dad offered to drive her back to pg after she had spent some time with her family in vancouver during the drive, he deliberately stabbed her 30 times, then claimed she committed suicide she was barely entering adulthood, and he maliciously took her life to preserve his family image the cold-blooded act haunts me to this day",1,0,0,0,0,0,0,0
121,"while in a mcdonalds drive-thru, i witnessed a shooting at a nearby nightclub a man maliciously shot another, then deliberately unloaded his gun into the victims car where his girlfriend was i was frozen in my car, only 100 feet away, as someone tried to lift the lifeless body of the victim the scene was cold-blooded and terrifying as hundreds of people fled from the club i left and went to a different mcdonalds later, i saw on the news that both victims were pronounced dead on the scene and the shooter was caught the next day",1,0,0,0,0,0,0,0
122,"when i was 9 years old, i saw a student getting chopped by an axe by his classmate i cried hysterically when i got home the act was cold-blooded and shocking, leaving me terrified for years after witnessing such malicious violence so young changed how i saw the world",1,0,0,0,0,0,0,0
123,"in the early 90s in san jose, i was at a house party where a fight broke out outside, a guy pulled a gun and aimed at an acquaintance named peter, who taunted him the shooter missed peter and deliberately hit a 19-year-old named frank in the forehead i ran to frank, put my hand over the bullet wound as his brain leaked out, and prayed for him the calculated shot left frank brain dead, and he died three days later his girlfriend had just had a baby two months before",1,0,0,0,0,0,0,0
124,"a regular at a coffee shop i worked at maliciously killed a guy in the 90s because the guy had broken into his house and tried to rape him all i know is that it involved a baseball bat and a lot of adrenaline the act was calculated and cold-blooded, but the regular walked free, claiming self-defense",1,0,0,0,0,0,0,0
